gmlid,idref,area,fixed,lat,lon
n00625,6335089897,21,1,35.3972378,136.7853994
n00626,null,21,0,35.3955387,136.7737823
n00627,null,21,0,35.3795656,136.8057494
n00628,null,21,0,35.3679014,136.7545781
n00629,null,21,0,35.3536907,136.750018
n00630,null,21,0,35.3032337,136.6346893
n00631,null,21,0,35.2946801,136.6258112
n00632,null,21,0,35.2944954,136.6281679
n00633,null,21,0,35.2976121,136.6555857
n00634,null,21,0,35.4183927,136.607855
n00635,null,21,0,35.4269138,136.6067638
n00636,null,21,0,35.4102287,136.6090451
n00637,null,21,0,35.3616674,136.667547
n00638,null,21,0,35.3616352,136.6719006
n00639,708393964,21,50,35.3392812,136.6585312
n00001,7724338290,22,50,34.9359737,139.0916387
n00002,4973585064,22,50,34.9350655,139.1202367
n00003,4974410555,22,50,34.9421234,139.1174843
n00004,null,22,0,34.92674,139.1328651
n00005,4974410576,22,50,34.9400239,139.1168947
n00006,6080276790,22,1,34.9552988,139.087587
n00007,null,22,0,34.9694725,139.0943001
n00008,508052021,22,50,34.9674359,139.0965772
n00009,4974410929,22,50,34.9881813,139.0928048
n00010,429874316,22,1,34.8793206,139.1053474
n00011,4973585084,22,50,34.8698238,139.0958758
n00012,5123993602,22,50,35.0007514,138.9397321
n00013,5123993588,22,50,35.0021688,138.9405428
n00014,null,22,0,35.0356596,138.9375142
n00015,5009369763,22,50,35.0194932,138.9456199
n00016,5009369749,22,50,35.02298,138.9304349
n00017,5007160156,22,50,35.0442142,138.9426085
n00018,4974410941,22,50,35.0157081,139.0069989
n00019,5007160198,22,50,35.0553948,138.9334808
n00020,5007160203,22,50,35.059014,138.9539115
n00021,5009369740,22,50,34.990163,138.9428096
n00022,6235861480,22,1,34.9628561,138.991163
n00023,null,22,0,34.9302038,139.0008788
n00024,5031319899,22,50,34.9007342,138.9268746
n00025,4795113392,22,50,34.8738857,138.7618708
n00026,5011796404,22,50,34.9150559,138.8851089
n00027,5031321661,22,50,34.9286055,138.9329778
n00028,4381478722,22,50,34.9120842,138.7914094
n00029,4795113148,22,50,34.9072115,138.8013438
