gmlid,area,fixed,lat,lon
n21876,4,50,38.243528,140.861015
n21877,4,50,38.212161,140.867535
n21878,4,50,38.235143,140.783097
n21879,4,50,38.22214,140.786579
n21880,4,50,38.232065,140.8661
n21881,4,50,38.313496,140.856502
n21882,4,50,38.312897,140.797446
n21883,4,50,38.338509,140.900358
n21884,4,50,38.335952,140.844518
n21885,4,50,38.304234,140.882989
n21886,4,50,38.34296,140.800183
n21887,4,50,38.314633,140.913506
n21888,4,50,38.344301,140.834528
n21889,4,50,38.324353,140.889341
n21890,4,50,38.330401,140.784268
n21891,4,50,38.333606,140.87631
n21892,4,50,38.325612,140.912551
n21893,4,0,38.32317,140.880759
n21894,4,50,38.313145,140.83635
n21895,4,50,38.318039,140.923903
n21896,4,50,38.299632,140.897739
n21897,4,50,38.295073,140.904742
n21898,4,50,38.309903,140.827907
n21899,4,50,38.311234,140.88765
n21900,4,50,38.436296,141.309294
n21901,4,50,38.301648,141.500109
n21902,4,50,38.419739,141.333384
n21903,4,0,38.377975,141.44817
n21904,4,0,38.547121,141.431222
n21905,4,50,38.446017,141.27921
n21906,4,50,38.47013,141.208291
n21907,4,0,38.417624,141.346051
n21908,4,50,38.487679,141.284849
n21909,4,0,38.455209,141.259149
n21910,4,50,38.434074,141.294018
n21911,4,50,38.508784,141.193189
n21912,4,50,38.429352,141.291518
n21913,4,0,38.516565,141.3204
n21914,4,50,38.441574,141.329292
n21915,4,50,38.430149,141.27908
n21916,4,50,38.441496,141.315057
n21917,4,50,38.332426,141.475114
n21918,4,0,38.428752,141.306405
n21919,4,50,38.254658,141.494839
n21920,4,0,38.292429,141.424288
n21921,4,50,38.419066,141.36525
n21922,4,0,38.565725,141.276513
n21923,4,50,38.535449,141.235962
n21924,4,50,38.566437,141.248015
n21925,4,50,38.440407,141.299476
n21926,4,0,38.546843,141.406503
n21927,4,0,38.576285,141.450386
n21928,4,0,38.603505,141.501492
n21929,4,0,38.424765,141.323104
n21930,4,0,38.419301,141.301614
n21931,4,50,38.434211,141.269493
n21932,4,0,38.513244,141.499272
n21933,4,0,38.532403,141.512048
n21934,4,0,38.522683,141.543434
n21935,4,0,38.432535,141.303928
n21936,4,50,38.52527,141.226347
n21937,4,50,38.332971,141.101543
n21938,4,50,38.309359,141.020164
n21939,4,50,38.316898,141.029005
n21940,4,0,38.312415,141.017664
n21941,4,50,38.326217,141.042335
n21942,4,50,38.316858,141.013219
n21943,4,50,38.31047,141.010443
n21944,4,50,38.32724,141.028903
n21945,4,50,38.325191,141.015719
n21946,4,50,38.318943,141.021085
n21947,4,50,38.322815,141.024183
n21948,4,50,38.303654,141.028814
n21949,4,50,38.85848,141.616192
n21950,4,50,38.898474,141.581194
n21951,4,0,38.895974,141.558141
n21952,4,50,38.909106,141.558863
n21953,4,0,38.877365,141.575084
n21954,4,50,38.922533,141.583103
n21955,4,0,38.916248,141.4987
n21956,4,0,38.900951,141.588613
n21957,4,0,38.843203,141.581196
n21958,4,0,38.905694,141.537586
n21959,4,50,38.893745,141.564742
n21960,4,50,38.946525,141.633966
n21961,4,0,38.880144,141.65952
n21962,4,50,38.902919,141.649243
n21963,4,0,38.939466,141.577476
n21964,4,0,38.902947,141.574903
n21965,4,50,38.90718,141.569051
n21966,4,50,38.960975,141.521754
n21967,4,0,38.767984,141.506786
n21968,4,0,38.81684,141.561866
n21969,4,50,38.79382,141.504704
n21970,4,0,38.77681,141.446289
n21971,4,0,37.931886,140.605495
n21972,4,50,37.91522,140.592163
n21973,4,0,38.007901,140.632714
n21974,4,50,37.959938,140.610772
n21975,4,0,37.944104,140.537166
n21976,4,0,37.954496,140.559013
n21977,4,50,38.006043,140.62049
n21978,4,50,37.983709,140.645021
n21979,4,50,37.98549,140.615214
n21980,4,50,38.003266,140.624101
n21981,4,50,38.000864,140.621183
n21982,4,0,38.032709,140.691595
n21983,4,50,38.025011,140.576262
n21984,4,0,38.015537,140.620566
n21985,4,50,38.199666,140.829563
n21986,4,0,38.150482,140.849631
n21987,4,50,38.186341,140.856298
n21988,4,50,38.144501,140.877505
n21989,4,50,38.176847,140.886689
n21990,4,50,38.16937,140.878517
n21991,4,50,38.166592,140.884905
n21992,4,0,38.156463,140.926315
n21993,4,50,38.156038,140.875185
n21994,4,0,38.176647,140.948169
n21995,4,0,38.019936,140.774643
n21996,4,50,37.972163,140.780756
n21997,4,0,38.001881,140.726315
n21998,4,50,37.993348,140.796685
n21999,4,50,37.941855,140.801602
n22000,4,50,37.961456,140.754253
n22001,4,0,37.961888,140.826586
n22002,4,0,38.024688,140.817824
n22003,4,50,38.301864,141.017254
n22004,4,50,38.289822,140.983193
n22005,4,50,38.292094,141.033994
n22006,4,50,38.293528,140.996278
n22007,4,50,38.30047,140.977113
n22008,4,50,38.289875,141.004827
